File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Measured
sshd-core/src/main/java/org/apache/sshd/server/kex/AbstractDHGServer.java,1,148,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,26083.628378,F
sshd-core/src/main/java/org/apache/sshd/server/ServerChannel.java,1,40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,96509.425,F
sshd-core/src/main/java/org/apache/sshd/client/UserAuth.java,1,40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,96509.425,F
sshd-core/src/main/java/org/apache/sshd/server/shell/InvertedShellWrapper.java,1,132,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,29245.280302999996,F
sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelPipedOutputStream.java,1,54,4,1,1,1,3,3,3.0,2,2,2.0,2,2,2.0,3860377,71488.462963,F
sshd-core/src/main/java/org/apache/sshd/common/channel/Window.java,1,135,17,1,1,1,15,15,15.0,13,13,13.0,4,4,13.0,3860377,28595.385185000003,F
sshd-core/src/main/java/org/apache/sshd/common/RuntimeSshException.java,1,47,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,82135.680851,F
sshd-core/src/main/java/org/apache/sshd/common/cipher/BaseCipher.java,1,83,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,46510.566264999994,F
sshd-core/src/main/java/org/apache/sshd/common/signature/AbstractSignature.java,1,74,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,52167.256757,F
sshd-core/src/main/java/org/apache/sshd/common/cipher/TripleDESCBC.java,1,46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,F
sshd-core/src/main/java/org/apache/sshd/common/AbstractFactoryManager.java,1,136,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,28385.125,F
sshd-core/src/main/java/org/apache/sshd/common/mac/HMACMD596.java,1,48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,80424.520833,F
sshd-core/src/test/java/org/apache/sshd/util/EchoShellFactory.java,1,94,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,41067.840426,F
sshd-core/src/main/java/org/apache/sshd/client/future/DefaultConnectFuture.java,1,78,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,49492.012821,F
sshd-core/src/main/java/org/apache/sshd/common/cipher/AES192CBC.java,1,46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,F
sshd-core/src/test/java/org/apache/sshd/util/BogusPasswordAuthenticator.java,1,33,3,1,0,1,2,2,2.0,1,1,1.0,9,9,1.0,3860377,116981.12121199998,F
sshd-core/src/main/java/org/apache/sshd/client/channel/ChannelSession.java,1,92,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,41960.619565,F
sshd-core/src/main/java/org/apache/sshd/client/channel/AbstractClientChannel.java,1,245,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,15756.640816,F
sshd-core/src/main/java/org/apache/sshd/common/util/BufferUtils.java,1,69,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,55947.492754,F
sshd-core/src/main/java/org/apache/sshd/server/channel/ChannelSession.java,1,556,13,4,3,1,13,6,3.25,13,6,3.25,15,9,3.25,3860377,6943.124101,F
sshd-core/src/main/java/org/apache/sshd/common/AbstractSessionIoHandler.java,1,61,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,63284.868852,F
sshd-core/src/main/java/org/apache/sshd/server/SessionFactory.java,1,47,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,82135.680851,F
sshd-core/src/main/java/org/apache/sshd/client/kex/DHG1.java,1,52,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,74238.019231,F
sshd-core/src/main/java/org/apache/sshd/server/ShellFactory.java,1,166,16,1,0,1,16,16,16.0,16,16,16.0,9,9,16.0,3860377,23255.283133,F
sshd-core/src/main/java/org/apache/sshd/common/future/CloseFuture.java,1,40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,96509.425,F
sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelPipedInputStream.java,1,101,18,1,1,1,17,17,17.0,16,16,16.0,2,2,16.0,3860377,38221.554455,F
sshd-core/src/main/java/org/apache/sshd/common/NamedFactory.java,1,123,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,31385.178862,F
sshd-core/src/test/java/org/apache/sshd/server/keyprovider/SimpleGeneratorHostKeyProviderTest.java,1,82,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,47077.768293,F
sshd-core/src/main/java/org/apache/sshd/common/Mac.java,1,38,2,1,1,1,1,1,1.0,0,0,0.0,4,4,0.0,3860377,101588.868421,F
sshd-core/src/main/java/org/apache/sshd/client/session/ClientSessionImpl.java,1,364,4,1,0,1,2,2,2.0,0,0,0.0,2,2,0.0,3860377,10605.431319,F
sshd-core/src/main/java/org/apache/sshd/client/future/AuthFuture.java,1,74,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,52167.256757,F
sshd-core/src/test/java/org/apache/sshd/LoadTest.java,1,129,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,29925.403101,F
sshd-core/src/main/java/org/apache/sshd/common/kex/DH.java,1,103,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,37479.38835,F
sshd-core/src/main/java/org/apache/sshd/ClientChannel.java,1,59,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,65430.11864400001,F
sshd-core/src/main/java/org/apache/sshd/common/Compression.java,1,81,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,47658.975308999994,F
sshd-core/src/main/java/org/apache/sshd/server/shell/InvertedShell.java,1,85,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,45416.2,F
sshd-core/src/main/java/org/apache/sshd/common/util/NoCloseInputStream.java,1,39,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,98984.025641,F
sshd-core/src/main/java/org/apache/sshd/common/compression/CompressionDelayedZlib.java,1,56,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,68935.303571,F
sshd-core/src/main/java/org/apache/sshd/common/signature/SignatureRSA.java,1,60,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,64339.616666999995,F
sshd-core/src/main/java/org/apache/sshd/common/kex/DHGroupData.java,1,96,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,40212.260417000005,F
sshd-core/src/main/java/org/apache/sshd/common/KeyPairProvider.java,1,56,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,68935.303571,F
sshd-core/src/main/java/org/apache/sshd/client/future/ConnectFuture.java,1,72,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,53616.347222000004,F
sshd-core/src/main/java/org/apache/sshd/ClientSession.java,1,65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,59390.415385,F
sshd-core/src/main/java/org/apache/sshd/common/Random.java,1,37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,104334.513514,F
sshd-core/src/test/java/org/apache/sshd/TestSpringConfig.java,1,98,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,39391.602041000006,F
sshd-core/src/main/java/org/apache/sshd/server/command/ScpCommandFactory.java,1,54,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,71488.462963,F
sshd-core/src/main/java/org/apache/sshd/common/util/LfToCrLfFilterOutputStream.java,1,66,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,58490.56060599999,F
sshd-core/src/main/java/org/apache/sshd/common/cipher/BlowfishCBC.java,1,46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,F
sshd-core/src/main/java/org/apache/sshd/common/Cipher.java,1,67,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,57617.567164,F
sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelOutputStream.java,1,116,3,1,1,1,3,3,3.0,3,3,3.0,4,4,3.0,3860377,33279.112069,F
sshd-core/src/main/java/org/apache/sshd/server/jaas/JaasPasswordAuthenticator.java,1,74,5,1,0,1,5,5,5.0,5,5,5.0,9,9,5.0,3860377,52167.256757,F
sshd-core/src/main/java/org/apache/sshd/client/future/DefaultAuthFuture.java,1,65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,59390.415385,F
sshd-core/src/main/java/org/apache/sshd/common/mac/HMACMD5.java,1,48,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,80424.520833,F
sshd-core/src/main/java/org/apache/sshd/client/SessionFactory.java,1,46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,F
sshd-core/src/main/java/org/apache/sshd/server/Signals.java,1,59,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,65430.11864400001,F
sshd-core/src/test/java/org/apache/sshd/server/jaas/JaasPasswordAuthenticatorTest.java,1,122,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,31642.434426,F
sshd-core/src/main/java/org/apache/sshd/client/channel/ChannelShell.java,1,79,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,48865.531645999996,F
sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthPassword.java,1,63,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,61275.825397,F
sshd-core/src/main/java/org/apache/sshd/common/FactoryManager.java,1,130,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,29695.207692,F
sshd-core/src/main/java/org/apache/sshd/common/channel/AbstractChannel.java,1,183,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,21094.956284,F
sshd-core/src/main/java/org/apache/sshd/server/auth/UserAuthNone.java,1,46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3860377,83921.23913,F
