File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Measured
services/cassandra/src/test/java/org/apache/whirr/service/cassandra/integration/CassandraServiceTest.java,1,125,21,1,1,1,16,16,16.0,11,11,11.0,1,1,11.0,18387,147.096,T
core/src/main/java/org/apache/whirr/ByonClusterController.java,1,80,51,1,1,1,49,49,49.0,47,47,47.0,4,4,47.0,18387,229.8375,T
core/src/main/java/org/apache/whirr/ClusterSpec.java,1,918,106,7,1,2,79,53,15.8,38,44,5.428571,38,24,5.428571,18387,20.029412,T
services/hadoop/src/main/java/org/apache/whirr/service/hadoop/HadoopProxy.java,1,104,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,18387,176.798077,T
core/src/test/java/org/apache/whirr/util/integration/DnsUtilTest.java,1,84,4,1,1,1,3,3,3.0,2,2,2.0,3,3,2.0,18387,218.892857,T
core/src/main/java/org/apache/whirr/service/jclouds/TemplateBuilderStrategy.java,1,57,5,1,1,1,3,3,3.0,1,1,1.0,1,1,1.0,18387,322.578947,T
core/src/main/java/org/apache/whirr/actions/BootstrapClusterAction.java,1,406,303,3,0,1,26,16,8.666667,-251,6,-83.666667,34,21,-83.666667,18387,45.288177000000005,T
core/src/main/java/org/apache/whirr/actions/ScriptBasedClusterAction.java,1,101,234,5,1,3,191,145,38.2,148,131,29.6,45,32,29.6,18387,182.049505,T
core/src/test/java/org/apache/whirr/ClusterControllerFactoryTest.java,1,54,2,1,1,1,1,1,1.0,0,0,0.0,3,3,0.0,18387,340.5,T
core/src/main/java/org/apache/whirr/Cluster.java,1,175,34,4,2,2,24,12,6.0,14,9,3.5,39,24,3.5,18387,105.06857099999999,T
core/src/main/java/org/apache/whirr/ClusterController.java,1,220,100,7,2,3,73,27,10.428571,46,23,6.571428999999999,53,24,6.571428999999999,18387,83.57727299999999,T
cli/src/main/java/org/apache/whirr/cli/command/ListClusterCommand.java,1,97,6,2,1,2,3,2,1.5,0,0,0.0,28,24,0.0,18387,189.556701,T
services/cdh/src/test/java/org/apache/whirr/service/cdh/integration/CdhHBaseServiceTest.java,1,92,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,18387,199.858696,T
services/hadoop/src/main/java/org/apache/whirr/service/hadoop/HadoopProxy.java,2,104,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,949,9.125,T
services/hadoop/src/test/java/org/apache/whirr/service/hadoop/integration/HadoopServiceController.java,2,163,2,1,1,1,1,1,1.0,0,0,0.0,1,1,0.0,949,5.822086,T
core/src/main/java/org/apache/whirr/actions/BootstrapClusterAction.java,2,155,2,1,0,1,1,1,1.0,0,0,0.0,8,8,0.0,949,6.122580999999999,T
core/src/main/java/org/apache/whirr/Cluster.java,2,189,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,949,5.021164,T
core/src/main/java/org/apache/whirr/ClusterController.java,2,266,200,4,0,1,143,67,35.75,86,53,21.5,89,37,21.5,949,3.5676690000000004,T
services/cdh/src/test/java/org/apache/whirr/service/cdh/integration/CdhHadoopServiceTest.java,2,196,31,1,0,1,16,16,16.0,1,1,1.0,18,18,1.0,949,4.841837,T
services/cdh/src/test/java/org/apache/whirr/service/cdh/integration/CdhHBaseServiceTest.java,2,92,18,1,0,1,9,9,9.0,0,0,0.0,18,18,0.0,949,10.315217,T
core/src/main/java/org/apache/whirr/net/FastDnsResolver.java,3,102,15,2,1,1,11,9,5.5,7,7,3.5,72,69,3.5,357156,3501.529412,T
core/src/main/java/org/apache/whirr/Cluster.java,3,189,51,3,2,1,33,15,11.0,15,15,5.0,74,69,5.0,357156,1889.714286,T
core/src/main/java/org/apache/whirr/ClusterController.java,3,352,33,4,1,2,20,12,5.0,7,6,1.75,90,69,1.75,357156,1014.6477269999999,T
services/cdh/src/test/java/org/apache/whirr/service/cdh/integration/CdhHBaseServiceTest.java,3,92,17,2,1,2,9,8,4.5,1,1,0.5,20,19,0.5,357156,3882.130435,T
services/hadoop/src/main/java/org/apache/whirr/service/hadoop/HadoopProxy.java,3,104,3,1,1,1,2,2,2.0,1,1,1.0,5,5,1.0,357156,3434.1923079999997,T
core/src/main/java/org/apache/whirr/util/Utils.java,3,59,20,3,1,3,16,13,5.3333330000000005,12,12,4.0,86,69,4.0,357156,6053.491525,T
core/src/main/java/org/apache/whirr/actions/BootstrapClusterAction.java,3,155,44,4,2,2,20,17,5.0,-4,0,-1.0,89,69,-1.0,357156,2304.232258,T
services/cdh/src/test/java/org/apache/whirr/service/cdh/integration/CdhHadoopServiceTest.java,3,197,6,2,1,1,3,2,1.5,0,0,0.0,20,19,0.0,357156,1812.974619,T
